iter	Passed	Remaining
726	385818	144880
727	386342	144347
728	386861	143812
729	387341	143263
730	387827	142716
731	388230	142138
732	388690	141583
733	389172	141035
734	389681	140497
735	390101	139927
736	390821	139465
737	391236	138894
738	391857	138396
739	392306	137837
740	392755	137279
741	393220	136726
742	393652	136162
743	394132	135615
744	394621	135071
745	395017	134496
746	395498	133950
747	395992	133409
748	396504	132874
749	397037	132345
750	397500	131794
751	398003	131256
752	398513	130720
753	398926	130153
754	399389	129603
755	399865	129057
756	400556	128580
757	401092	128053
758	401474	127477
759	401916	126921
760	402312	126350
761	402930	125849
762	403431	125312
763	403921	124771
764	404480	124252
765	404988	123716
766	405512	123186
767	406025	122653
768	406492	122106
769	406995	121569
770	407614	121068
771	408067	120517
772	408496	119959
773	408927	119402
774	409359	118846
775	409798	118292
776	410263	117746
777	410740	117203
778	411211	116659
779	411699	116120
780	412249	115598
781	412728	115057
782	413169	114505
783	413750	113992
784	414257	113459
785	414847	112948
786	415268	112391
787	415770	111857
788	416291	111327
789	416724	110774
790	417246	110245
791	417713	109702
792	418217	109169
793	418788	108653
794	419212	108098
795	419646	107547
796	420082	106997
797	420597	106467
798	421086	105930
799	421647	105411
800	422118	104870
801	422595	104331
802	423040	103784
803	423531	103248
804	424002	102708
805	424453	102163
806	424899	101617
807	425296	101060
808	425888	100549
809	426350	100008
810	426765	99455
811	427235	98916
812	427746	98386
813	428171	97837
814	428753	97324
815	429293	96801
816	429733	96256
817	430322	95744
818	431200	95295
819	431998	94828
820	432691	94338
821	433189	93804
822	433879	93312
823	434466	92798
824	435176	92310
825	435665	91774
826	436220	91252
827	436683	90712
828	437182	90178
829	437680	89645
830	438203	89117
831	438572	88557
832	439060	88022
833	439546	87487
834	440050	86955
835	440490	86411
836	440943	85870
837	441384	85327
838	441875	84793
839	442486	84283
840	442970	83748
841	443684	83256
842	444159	82720
843	444805	82215
844	445224	81668
845	445693	81130
846	446135	80588
847	446572	80046
848	447108	79520
849	447699	79005
850	448104	78457
851	448593	77924
852	449077	77390
853	449556	76856
854	449997	76315
855	450498	75784
856	450962	75248
857	451538	74730
858	451996	74192
859	452568	73673
860	453041	73139
861	453483	72599
862	454003	72072
863	454439	71532
864	454902	70996
865	455488	70479
866	455941	69942
867	456544	69428
868	457018	68894
869	457551	68369
870	458007	67833
871	458539	67308
872	459052	66780
873	459540	66249
874	460068	65724
875	460525	65188
876	461031	64660
877	461529	64130
878	462022	63600
879	462594	63081
880	463019	62541
881	463469	62006
882	464091	61493
883	464619	60968
884	465185	60447
885	465666	59916
886	466226	59395
887	466718	58865
888	467140	58326
889	467506	57781
890	468057	57259
891	468520	56726
892	468976	56193
893	469475	55664
894	470012	55141
895	470652	54629
896	471120	54097
897	471595	53566
898	472087	53037
899	472707	52523
900	473350	52010
901	474026	51501
902	474674	50989
903	475255	50469
904	475875	49953
905	476522	49440
906	477078	48917
907	477657	48397
908	478209	47873
909	478806	47354
910	479388	46833
911	479997	46315
912	480478	45784
913	481021	45260
914	481461	44725
915	482075	44207
916	482561	43677
917	483047	43148
918	483627	42626
919	484005	42087
920	484433	41552
921	484912	41022
922	485412	40494
923	485935	39968
924	486519	39447
925	486945	38913
926	487620	38399
927	488006	37862
928	488423	37328
929	488899	36798
930	489290	36263
931	489759	35733
932	490218	35203
933	490671	34672
934	491082	34139
935	491573	33611
936	492093	33086
937	492687	32565
938	493316	32047
939	493781	31517
940	494271	30990
941	494725	30460
942	495292	29938
943	495791	29411
944	496261	28882
945	496731	28354
946	497245	27828
947	497823	27306
948	498344	26781
949	498886	26257
950	499356	25729
951	499846	25202
952	500661	24691
953	501282	24170
954	501818	23645
955	502279	23117
956	502685	22586
957	503131	22057
958	503637	21531
959	504129	21005
960	504633	20479
961	505095	19951
962	505666	19428
963	506132	18901
964	506625	18375
965	507246	17853
966	507816	17329
967	508298	16803
968	508784	16276
969	509394	15754
970	509854	15227
971	510269	14699
972	510525	14166
973	511150	13644
974	511694	13120
975	512243	12596
976	512770	12071
977	513401	11548
978	513826	11021
979	514335	10496
980	514952	9973
981	515460	9448
982	515866	8921
983	516659	8400
984	517372	7878
985	517709	7350
986	518227	6825
987	518710	6300
988	519139	5774
989	519632	5248
990	520083	4723
991	520726	4199
992	521180	3673
993	521741	3149
994	522227	2624
995	523040	2100
996	523599	1575
997	523966	1050
998	524474	524
999	525287	0
